M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.2511081,0,0.3486145,0,34,26
01,1,0.7182582,0.4342347,0.6806838,0.4421013,34,26
01,2,0.2033613,0.1540529,0.8261538,0.4948545,34,25
01,3,0.1758594,0.07934977,0.6761538,0.4971211,34,25
01,4,0.21589,0.1455058,0.6661538,0.4015082,34,25

02,0,0.810848,0.4317343,0.8418972,0.4737039,34,22
02,1,0.755233,0.5147562,0.7978543,0.5695955,34,22
02,2,0.7503438,0.5179106,0.7955957,0.6601345,34,22
02,3,0.2045837,0,0.8064935,0.5280728,34,21
02,4,0.1113827,0,0.787013,0.3367407,34,21

03,0,0.5850267,0,0.5196078,0,34,17
03,1,0.4771581,0,0.3872549,0,34,17
03,2,0.4444614,0,0.254902,0,34,17
03,3,0.4407945,0,0.2254902,0,34,17
03,4,0.06065699,0,0.3264706,0,34,16

04,0,0.8132926,0,0.55,0,34,16
04,1,0.7197861,0,0.4205882,0,34,16
04,2,0.7867074,0,0.4558824,0,34,16
04,3,0.7735676,0,0.5705882,0,34,16
04,4,0.7475936,0,0.5,0,34,16

05,0,0.3486897,0.4729613,0.1970588,0.05902354,34,16
05,1,0.3482313,0.6536508,0.5941176,0.4534827,34,16
05,2,0.3884178,0.6442475,0.5205882,0.4260745,34,16
05,3,0.3112537,0.5959883,0.4294118,0.3253707,34,16
05,4,0.3716097,0.5449127,0.4882353,0.2255234,34,16

06,0,0.382917,0,0.3714286,0,34,15
06,1,0.2070283,0,0,0,34,15
06,2,0.2993125,0,0.1357143,0,34,15
06,3,0.3488159,0,0.1964286,0,34,15
06,4,0.08265852,0,0.06428571,0,34,15

07,0,0.4817786,0,0.1120879,0,34,14
07,1,0.3214913,0,0,0,34,14
07,2,0.2519673,0,0,0,34,14
07,3,0.3265337,0,0,0,34,14
07,4,0.3237833,0,0,0,34,14

08,0,0.3358802,0,0.6189827,0,34,13
08,1,0.1984873,0,0.7620365,0.3583183,34,13
08,2,0.2006265,0.04151756,0.2971117,0.7037697,34,13
08,3,0.2921537,0.110953,0.7565344,0.953202,34,13
08,4,0.4490794,0.3741491,0.6024765,0.8128873,34,13

09,0,0.5552923,0.3874207,0.502451,0.7189376,34,17
09,1,0.3978298,0,0.370098,0.6601465,34,17
09,2,0.4580468,0,0.4117647,0.3862826,34,17
09,3,0.2547761,0.1991516,0.04411765,0.4695074,34,17
09,4,0.4348159,0.2851384,0.3088235,0,34,17

10,0,0.3959957,0.2055746,0.5292291,0.6346778,34,22
10,1,0,0,0,0.03327958,34,22
10,2,0,0,0.00621118,0.06666728,34,22
10,3,0,0,0,0.04723812,34,22
10,4,0,0,0,0.05333453,34,22

11,0,0.8185499,0,0.9226588,0,34,23
11,1,0.8330659,0,0.9582407,0,34,23
11,2,0.7872259,0,0.8895478,0,34,23
11,3,0.8116739,0,0.8737337,0.2318315,34,23
11,4,0.8271067,0,0.9058562,0,34,23

12,0,0.8985862,0,0.921651,0,34,23
12,1,0.8025371,0,0.8262911,0,34,23
12,2,0.8847624,0,0.8989375,0,34,23
12,3,0.7982577,0,0.8228318,0,34,23
12,4,0.8233227,0,0.8154189,0,34,23

