Y	M	Lead	P-Y	P-M	Streamflow_CV
1982 01 0 1982 01 22.1
1983 01 0 1983 01 46.4998
1984 01 0 1984 01 26.1
1985 01 0 1985 01 78.4004
1986 01 0 1986 01 18.4001
1987 01 0 1987 01 61.5001
1988 01 0 1988 01 13.5
1989 01 0 1989 01 3.13999
1990 01 0 1990 01 26.2999
1991 01 0 1991 01 31.8
1992 01 0 1992 01 129.2
1993 01 0 1993 01 27.8
1994 01 0 1994 01 1.33
1995 01 0 1995 01 0.605
1996 01 0 1996 01 2.36
1997 01 0 1997 01 10
1998 01 0 1998 01 8.87003
1999 01 0 1999 01 0.95
2000 01 0 2000 01 0.329001
2001 01 0 2001 01 77.0996
2002 01 0 2002 01 6.30003
2003 01 0 2003 01 16.6999
2004 01 0 2004 01 2.42
2005 01 0 2005 01 120.101
2006 01 0 2006 01 14.9
2007 01 0 2007 01 37.8999
2008 01 0 2008 01 20.5
2009 01 0 2009 01 27.2
2010 01 0 2010 01 13.4
2011 01 0 2011 01 24.3
2012 01 0 2012 01 3.66
2013 01 0 2013 01 2.7
2014 01 0 2014 01 8.34997
2015 01 0 2015 01 32.7001
2016 01 0 2016 01 39.6999
1982 01 1 1982 01 19.0388
1983 01 1 1983 01 13.3813
1984 01 1 1984 01 16.4203
1985 01 1 1985 01 27.0189
1986 01 1 1986 01 18.1344
1987 01 1 1987 01 31.8618
1988 01 1 1988 01 12.5036
1989 01 1 1989 01 14.3937
1990 01 1 1990 01 3.49114
1991 01 1 1991 01 13.4104
1992 01 1 1992 01 51.4844
1993 01 1 1993 01 19.4358
1994 01 1 1994 01 6.9057
1995 01 1 1995 01 11.5289
1996 01 1 1996 01 8.75728
1997 01 1 1997 01 20.1073
1998 01 1 1998 01 24.8342
1999 01 1 1999 01 0.370765
2000 01 1 2000 01 0.590762
2001 01 1 2001 01 17.2007
2002 01 1 2002 01 10.8809
2003 01 1 2003 01 28.796
2004 01 1 2004 01 7.13901
2005 01 1 2005 01 28.4227
2006 01 1 2006 01 14.1068
2007 01 1 2007 01 39.2261
2008 01 1 2008 01 17.6476
2009 01 1 2009 01 13.0013
2010 01 1 2010 01 21.6901
2011 01 1 2011 01 27.3191
2012 01 1 2012 01 10.9895
2013 01 1 2013 01 0.312397
2014 01 1 2014 01 11.9892
2015 01 1 2015 01 23.0132
2016 01 1 2016 01 32.3288
1982 01 2 1982 02 18.5177
1983 01 2 1983 02 60.9993
1984 01 2 1984 02 33.815
